stock_receipt_id,item_number,stock_item_description,stock_item_spec,oem_model_no,oem_part_no,subinventory,locator,lot_number,receipt_number,receipt_date,po_number,quantity,uom,locator_segment1,locator_segment2,locator_segment3,locator_segment4,locator_segment5,locator_segment6,locator_segment7,locator_segment8,created_by,creation_date,last_updated_by,last_update_date
59,"2622I06181176030","D4E-2C2ON ","Limit Switch D4E-2C2ON. brand `OMRON AC 0.1A / 125V DC 0.1A / 48V","","","","01B0202A704","","2622090052656",06/10/2020 00:00:00,"2622040030334",5,"Each","2622","01B","2","2","A","704","","",,,,
60,"2622I06537221100","6I-0654 ","Bolt (M10 x 1.5x25-MM), 6I-0654","","","","01B0203A511","","2622090052867",19/10/2020 00:00:00,"2622040030310",20,"piece","2622","01B","2","3","A","511","","",,,,
61,"2622I06611214100","NGP ","Adjuster Arm NGP for Chs ex China  / GML 2000 . include rubber bushing","","","","01B0507A102","","2622090052750",13/10/2020 00:00:00,"2622040030387",10,"Set","2622","01B","5","7","A","102","","",,,,
62,"2622I06611202011","Timken 414 set ","Set of Inner bearing Timken HM218248. cone Timken HM218210. brand Timken. made in USA (bearing+cone)","","","","01B0507B101","","2622090052919",23/10/2020 00:00:00,"2622040030441",5,"Set","2622","01B","5","7","B","101","","",,,,
63,"2622I06541119020","4RD003520-09 ","Relay Automotive 24 V 5 kaki 10/20 A 4RD003520-09 brand Bosch. HT Terberg","","","","01B0203A607","","2622090052686",07/10/2020 00:00:00,"2622040030348",10,"pack","2622","01B","2","3","A","607","","",,,,
64,"2622I06541314330","277-3012 ","Gasket Cover (front) 277-3012","","","","01B0405C108","","2622090052753",13/10/2020 00:00:00,"2622040030377",2,"PCS","2622","01B","4","5","C","108","","",,,,
65,"2622I06541205030","V1573854 ","Spring Cylinder (Front Brake Chamber) V1573854","","","","01B0406A103","","2622090052752",13/10/2020 00:00:00,"2622040030384",5,"Unit","2622","01B","4","6","A","103","","",,,,
66,"2622I06282214040","YN272934 ","V-Belt Radiator, YN272934 u/ Engine 6CTAA8-3-G2 Cummins (America) RTGC ZPMC Old","","","","01B0802A205","","2622090052925",23/10/2020 00:00:00,"2622040030442",5,"Each","2622","01B","8","2","A","205","","",,,,
67,"2622I06292130010","FL 42/55 ","Jaw Flexible Coupling Type FL 42/55 u/ Motor Trolley & Spreader RTGC Fels","","","","01C0705C103","","2622090052747",13/10/2020 00:00:00,"2622040030378",2,"Set","2622","01C","7","5","C","103","","",,,,
68,"2622I06537202910","90029379","Cover, housing air cleaner, Ottawa Kalmar","","","","01B0103A205","","2622090052844",16/10/2020 00:00:00,"2622040030320",2,"piece","2622","01B","1","3","A","205","","",,,,
69,"2622I06282399510","LF 3000 ","Oil Filter Fleetguard","","","","01B0103A205","","2622090052657",06/10/2020 00:00:00,"2622040030345",36,"piece","2622","01B","1","3","A","205","","",,,,
70,"2622I99300101020","SAE 100 R2AT/EN 853 2SN DN 12 ","Hose SAE 100 R2AT/EN 853 2SN DN 12  (dia 1/2 inch) brand Sunflex","","","","01A0301A305","","2622090052906",21/10/2020 00:00:00,"2622040030408",100,"Meter","2622","01A","3","1","A","305","","",,,,
71,"2622I99300401050","SN02-12 ","Ferrule (Sleeve) 3/4` SN02-12 brand Sun Flex","","","","01A0301H107","","2622090052943",26/10/2020 00:00:00,"2622040030435",40,"pack","2622","01A","3","1","H","107","","",,,,
72,"2622I99300401030","SS02-08 ","Ferrule 1/2 Sunflex SS02-08 brand Sun Flex","","","","01A0301H109","","2622090052906",21/10/2020 00:00:00,"2622040030408",40,"pack","2622","01A","3","1","H","109","","",,,,
73,"2622I06611203090","YTE YB376 ","Wheel Bolt and Nut YTE YB376 for Chs ex China","","","","01B0502A302","","2622090052662",06/10/2020 00:00:00,"2622040030344",40,"piece","2622","01B","5","2","A","302","","",,,,
74,"2622I06541212070","285-1975 ","Harness As Wiring Injector for Terberg C6.6","","","","01C0405C205","","2622090052753",13/10/2020 00:00:00,"2622040030377",3,"piece","2622","01C","4","5","C","205","","",,,,
75,"2622I06282315030","YP11-300-315x20 ","Trolley Normal Brake match with brake YP11-300-315x20. RTGC ZPMC (brake lining only)","","","","01C0606B202","","2622090052726",09/10/2020 00:00:00,"2622040030052",1,"Set","2622","01C","6","6","B","202","","",,,,
